 1 1 1 1 	 intro	 1	 4 0 0 0
 1 1 1 1 	 intro	 3	 4 0 0 0
 1 1 1 1 	 intro	 6	 4 0 0 0
 5 1 1 1 	 intro	 1	 4 0 0 0
 5 1 1 1 	 intro	 2	 4 0 0 0
 5 1 1 1 	 intro	 3	 4 0 0 0
 5 1 1 1 	 intro	 5	 4 0 0 0
 5 1 1 1 	 intro	 6	 4 0 0 0
 9 1 1 1 	 verse	 1	 5 0 0 0
 9 1 1 1 	 verse	 2	 5 0 0 0
 9 1 1 1 	 verse	 3	 5 0 0 0
 9 1 1 1 	 verse	 4	 5 0 0 0
 14 1 1 1 	 verse	 1	 5 0 0 0
 14 1 1 1 	 verse	 2	 5 0 0 0
 14 1 1 1 	 verse	 3	 5 0 0 0
 14 1 1 1 	 verse	 4	 5 0 0 0
 19 1 1 1 	 chorus	 1	 6 0 0 0
 19 1 1 1 	 chorus	 2	 6 0 0 0
 19 1 1 1 	 chorus	 3	 6 0 0 0
 19 1 1 1 	 chorus	 4	 6 0 0 0
 25 1 1 1 	 verse	 1	 5 0 0 0
 25 1 1 1 	 verse	 2	 5 0 0 0
 25 1 1 1 	 verse	 3	 5 0 0 0
 25 1 1 1 	 verse	 4	 5 0 0 0
 30 1 1 1 	 verse	 1	 5 0 0 0
 30 1 1 1 	 verse	 2	 5 0 0 0
 30 1 1 1 	 verse	 3	 5 0 0 0
 30 1 1 1 	 verse	 4	 5 0 0 0
 35 1 1 1 	 chorus	 1	 6 0 0 0
 35 1 1 1 	 chorus	 2	 6 0 0 0
 35 1 1 1 	 chorus	 3	 6 0 0 0
 35 1 1 1 	 chorus	 4	 6 0 0 0
 41 1 1 1 	 chorus	 1	 6 0 0 0
 41 1 1 1 	 chorus	 2	 6 0 0 0
 41 1 1 1 	 chorus	 3	 6 0 0 0
 41 1 1 1 	 chorus	 4	 6 0 0 0
 47 1 1 1 	 bridge	 1	 7 0 0 0
 47 1 1 1 	 bridge	 2	 7 0 0 0
 47 1 1 1 	 bridge	 3	 7 0 0 0
 47 1 1 1 	 bridge	 4	 7 0 0 0
 54 1 1 1 	 jams	 1	 4 0 0 0
 54 1 1 1 	 jams	 2	 4 0 0 0
 54 1 1 1 	 jams	 3	 4 0 0 0
 54 1 1 1 	 jams	 5	 4 0 0 0
 54 1 1 1 	 jams	 6	 4 0 0 0
 58 1 1 1 	 jams	 1	 4 0 0 0
 58 1 1 1 	 jams	 2	 4 0 0 0
 58 1 1 1 	 jams	 3	 4 0 0 0
 58 1 1 1 	 jams	 5	 4 0 0 0
 58 1 1 1 	 jams	 6	 4 0 0 0
 62 1 1 1 	 chorus	 1	 6 0 0 0
 62 1 1 1 	 chorus	 2	 6 0 0 0
 62 1 1 1 	 chorus	 3	 6 0 0 0
 62 1 1 1 	 chorus	 4	 6 0 0 0
 68 1 1 1 	 chorus	 1	 6 0 0 0
 68 1 1 1 	 chorus	 2	 6 0 0 0
 68 1 1 1 	 chorus	 3	 6 0 0 0
 68 1 1 1 	 chorus	 4	 6 0 0 0
 74 1 1 1 	 verse	 1	 5 0 0 0
 74 1 1 1 	 verse	 3	 5 0 0 0
 74 1 1 1 	 verse	 4	 5 0 0 0
